EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
"Jo, 28 noiembrie 2013",46,26,43,30,38,21,1,"8.782.582,73","0,00",3,"47.598,06","0,00",207,"689,82","0,00",4.225,"30,00","0,00"
"Du, 24 noiembrie 2013",1,40,42,47,25,35,REPORT,"755.971,15","8.496.994,37",7,"53.997,93","0,00",402,"940,26","0,00",9.16,"30,00","0,00"
"Jo, 21 noiembrie 2013",13,37,32,21,7,33,REPORT,"254.053,84","7.741.023,22",9,"14.114,10","0,00",518,"245,22","0,00",8.375,"30,00","0,00"
"Du, 17 noiembrie 2013",36,44,28,23,25,21,REPORT,"675.802,32","7.486.969,38",14,"24.135,79","0,00",842,"401,30","0,00",15.194,"30,00","0,00"
"Jo, 14 noiembrie 2013",43,16,6,29,25,37,REPORT,"262.129,41","6.811.167,06",14,"9.361,76","0,00",399,"328,48","0,00",6.123,"30,00","0,00"
"Du, 10 noiembrie 2013",25,46,15,4,7,22,REPORT,"551.433,57","6.549.037,65",22,"12.532,58","0,00",939,"293,62","0,00",15.221,"30,00","0,00"
"Jo, 7 noiembrie 2013",48,17,49,19,32,29,REPORT,"259.877,71","5.997.604,08",3,"43.312,95","0,00",193,"673,25","0,00",3.962,"30,00","0,00"
"Du, 3 noiembrie 2013",39,32,49,24,25,15,REPORT,"615.529,15","5.737.726,37",5,"61.552,91","0,00",381,"807,78","0,00",9.056,"30,00","0,00"
"Jo, 31 octombrie 2013",37,45,4,25,5,6,REPORT,"230.131,82","5.122.197,22",3,"38.355,30","0,00",301,"382,27","0,00",5.546,"30,00","0,00"
"Du, 27 octombrie 2013",41,36,10,20,17,12,REPORT,"568.142,11","4.892.065,40",15,"18.938,07","0,00",620,"458,17","0,00",11.644,"30,00","0,00"
"Jo, 24 octombrie 2013",32,1,49,40,30,20,REPORT,"272.239,36","4.323.923,29",16,"8.507,48","0,00",185,"735,78","0,00",2.977,"30,00","0,00"
"Du, 20 octombrie 2013",40,19,11,37,20,6,REPORT,"527.981,35","4.051.683,93",11,"23.999,15","0,00",728,"362,62","0,00",12.541,"30,00","0,00"
"Jo, 17 octombrie 2013",34,26,2,16,36,43,REPORT,"237.879,86","3.523.702,58",7,"16.991,41","0,00",294,"404,55","0,00",5.205,"30,00","0,00"
"Du, 13 octombrie 2013",17,13,35,9,30,39,REPORT,"476.299,96","3.285.822,72",21,"11.340,47","0,00",945,"252,01","0,00",13.856,"30,00","0,00"
"Jo, 10 octombrie 2013",35,10,3,33,48,34,REPORT,"218.914,65","2.809.522,76",4,"27.364,33","0,00",173,"632,70","0,00",3.562,"30,00","0,00"
"Du, 6 octombrie 2013",25,36,29,49,47,31,REPORT,"500.370,48","2.590.608,11",5,"50.037,04","0,00",364,"687,32","0,00",7.738,"30,00","0,00"
"Jo, 3 octombrie 2013",21,41,15,1,37,34,REPORT,"208.410,26","2.090.237,63",3,"34.735,04","0,00",177,"588,72","0,00",3.405,"30,00","0,00"
"Du, 29 septembrie 2013",7,31,35,12,48,44,REPORT,"479.613,52","1.881.827,37",5,"47.961,35","0,00",463,"517,94","0,00",8.889,"30,00","0,00"
"Jo, 26 septembrie 2013",14,49,36,11,35,8,REPORT,"212.751,36","1.402.213,85",2,"53.187,84","0,00",160,"664,84","0,00",3.754,"30,00","0,00"
"Du, 22 septembrie 2013",4,46,28,30,49,17,REPORT,"481.250,71","1.189.462,49",13,"18.509,64","0,00",455,"528,84","0,00",8.487,"30,00","0,00"
"Jo, 19 septembrie 2013",33,32,37,41,8,45,REPORT,"208.211,78","708.211,78",3,"34.701,96","0,00",215,"484,21","0,00",3.115,"30,00","0,00"
"Du, 15 septembrie 2013",15,39,44,36,19,33,1,"11.371.103,71","0,00",22,"16.854,30","0,00",996,"372,28","0,00",15.813,"30,00","0,00"
"Du, 15 septembrie 2013",44,2,24,15,48,33,REPORT,"0,00","10.429.514,16",14,"27.194,62","0,00",883,"431,17","0,00",14.489,"30,00","0,00"
"Du, 8 septembrie 2013",6,26,13,24,47,34,REPORT,"546.766,27","9.668.064,61",40,"6.834,57","0,00",1.126,"242,79","0,00",16.66,"30,00","0,00"
"Jo, 5 septembrie 2013",41,10,28,36,27,16,REPORT,"287.732,66","9.121.298,34",4,"35.966,58","0,00",260,"553,33","0,00",5.659,"30,00","0,00"
"Du, 1 septembrie 2013",26,44,7,16,25,11,REPORT,"540.626,13","8.833.565,68",14,"19.308,07","0,00",1.022,"264,49","0,00",16.743,"30,00","0,00"
"Jo, 29 august 2013",8,5,36,3,2,41,REPORT,"296.436,81","8.292.939,55",6,"24.703,06","0,00",303,"489,16","0,00",6.732,"30,00","0,00"
"Du, 25 august 2013",28,30,49,29,34,25,REPORT,"652.829,40","7.996.502,74",5,"65.282,94","0,00",457,"714,25","0,00",9.827,"30,00","0,00"
"Jo, 22 august 2013",15,32,21,7,23,40,REPORT,"298.890,88","7.343.673,34",5,"29.889,08","0,00",307,"486,79","0,00",6.049,"30,00","0,00"
"Du, 18 august 2013",43,23,25,3,22,17,REPORT,"560.348,20","7.044.782,46",16,"17.510,88","0,00",867,"323,15","0,00",14.274,"30,00","0,00"
"Jo, 15 august 2013",23,46,18,17,47,15,REPORT,"358.327,58","6.484.434,26",4,"44.790,94","0,00",381,"470,24","0,00",7.796,"30,00","0,00"
"Du, 11 august 2013",13,21,49,3,40,43,REPORT,"574.756,92","6.126.106,68",13,"22.106,03","0,00",613,"468,80","0,00",11.527,"30,00","0,00"
"Jo, 8 august 2013",17,5,25,20,43,23,REPORT,"244.112,13","5.551.349,76",15,"8.137,07","0,00",464,"263,05","0,00",7.365,"30,00","0,00"
"Du, 4 august 2013",7,4,10,32,46,45,REPORT,"565.407,81","5.307.237,63",7,"40.386,27","0,00",459,"615,91","0,00",9.933,"30,00","0,00"
"Jo, 1 august 2013",41,12,46,15,40,37,REPORT,"292.383,84","4.741.829,82",4,"36.547,98","0,00",156,"937,12","0,00",3.79,"30,00","0,00"
"Du, 28 iulie 2013",41,11,9,45,42,19,REPORT,"536.705,95","4.449.445,98",7,"38.336,13","0,00",488,"549,90","0,00",10.296,"30,00","0,00"
"Jo, 25 iulie 2013",15,7,6,24,34,28,REPORT,"232.125,67","3.912.740,03",15,"7.737,52","0,00",484,"239,79","0,00",7.495,"30,00","0,00"
"Du, 21 iulie 2013",22,29,11,9,2,39,REPORT,"453.988,08","3.680.614,36",21,"10.809,24","0,00",986,"230,21","0,00",13.638,"30,00","0,00"
"Jo, 18 iulie 2013",38,20,25,40,4,3,REPORT,"226.626,28","3.226.626,28",3,"37.771,04","0,00",179,"633,03","0,00",4.066,"30,00","0,00"
"Du, 14 iulie 2013",22,49,18,7,47,6,1,"48.952.706,17","0,00",41,"39.654,52","0,00",1.989,"817,41","0,00",41.73,"30,00","0,00"
"Jo, 11 iulie 2013",27,23,37,4,30,8,REPORT,"155.748,18","48.591.409,37",23,"30.472,47","0,00",1.197,"585,51","0,00",21.768,"30,00","0,00"
"Du, 7 iulie 2013",11,2,34,36,48,8,REPORT,"1.714.379,32","48.435.661,19",31,"27.651,27","0,00",1.785,"480,21","0,00",34.668,"30,00","0,00"
"Jo, 4 iulie 2013",29,38,44,27,18,17,REPORT,"768.308,04","46.721.281,87",21,"18.293,04","0,00",965,"398,08","0,00",18.357,"30,00","0,00"
"Du, 30 iunie 2013",16,25,14,36,8,33,REPORT,"1.428.899,71","45.952.973,83",78,"9.159,61","0,00",3.113,"229,50","0,00",46.916,"30,00","0,00"
"Jo, 27 iunie 2013",2,41,29,43,44,48,REPORT,"825.713,52","44.524.074,12",6,"68.809,46","0,00",549,"752,01","0,00",11.72,"30,00","0,00"
"Du, 23 iunie 2013",32,39,17,19,5,47,REPORT,"1.412.653,17","43.698.360,60",32,"22.072,70","0,00",1.774,"398,15","0,00",32.001,"30,00","0,00"
"Jo, 20 iunie 2013",41,8,38,21,9,36,REPORT,"737.539,41","42.285.707,43",12,"30.730,80","0,00",633,"582,57","0,00",13.137,"30,00","0,00"
"Du, 16 iunie 2013",17,9,44,21,32,35,REPORT,"1.470.430,12","41.548.168,02",48,"15.316,98","0,00",1.818,"404,40","0,00",32.164,"30,00","0,00"
"Jo, 13 iunie 2013",44,20,48,49,1,25,REPORT,"800.348,54","40.077.737,90",8,"50.021,78","0,00",608,"658,18","0,00",12.798,"30,00","0,00"
"Du, 9 iunie 2013",24,44,37,45,8,41,REPORT,"1.451.244,74","39.277.389,36",15,"48.374,82","0,00",1.503,"482,78","0,00",29.181,"30,00","0,00"
"Jo, 6 iunie 2013",6,38,47,34,32,14,REPORT,"675.234,52","37.826.144,62",13,"25.970,55","0,00",668,"505,41","0,00",12.68,"30,00","0,00"
"Du, 2 iunie 2013",6,34,36,9,26,16,REPORT,"1.154.211,33","37.150.910,10",50,"11.542,11","0,00",2.608,"221,28","0,00",34.263,"30,00","0,00"
"Jo, 30 mai 2013",7,11,12,10,46,37,REPORT,"476.471,20","35.996.698,77",13,"18.325,81","0,00",781,"305,03","0,00",14.983,"30,00","0,00"
"Du, 26 mai 2013",4,40,34,17,42,49,REPORT,"1.395.630,60","35.520.227,57",19,"36.727,12","0,00",952,"732,99","0,00",19.807,"30,00","0,00"
"Jo, 23 mai 2013",47,8,6,15,11,26,REPORT,"523.805,95","34.124.596,97",10,"26.190,29","0,00",722,"362,74","0,00",13.824,"30,00","0,00"
"Du, 19 mai 2013",48,21,24,4,39,1,REPORT,"1.342.841,42","33.600.791,02",18,"37.301,15","0,00",1.078,"622,83","0,00",22.438,"30,00","0,00"
"Jo, 16 mai 2013",35,31,7,27,26,19,REPORT,"556.259,30","32.257.949,60",24,"11.588,73","0,00",964,"288,51","0,00",16.519,"30,00","0,00"
"Du, 12 mai 2013",9,29,45,5,3,11,REPORT,"952.942,72","31.701.690,30",61,"7.811,00","0,00",2.665,"178,78","0,00",37.625,"30,00","0,00"
"Jo, 9 mai 2013",38,28,6,2,22,23,REPORT,"500.329,75","30.748.747,58",12,"20.847,07","0,00",588,"425,45","0,00",10.307,"30,00","0,00"
"Du, 5 mai 2013",6,48,34,12,22,38,REPORT,"30.248.417,83","30.248.417,83",25,"24.573,42","0,00",1.047,"586,75","0,00",20.246,"30,00","0,00"
"Du, 5 mai 2013",41,2,27,28,30,42,REPORT,"28.819.746,63","28.819.746,63",23,"27.533,61","0,00",796,"795,56","0,00",17.721,"30,00","0,00"
"Du, 28 aprilie 2013",12,36,24,16,43,10,REPORT,"828.370,70","27.553.200,43",71,"5.833,59","0,00",1.539,"269,12","0,00",22.462,"30,00","0,00"
"Jo, 25 aprilie 2013",37,34,26,18,40,11,REPORT,"363.388,03","26.724.829,73",34,"5.343,94","0,00",760,"239,07","0,00",9.938,"30,00","0,00"
"Du, 21 aprilie 2013",47,38,10,25,20,15,REPORT,"892.768,53","26.361.441,70",25,"17.855,37","0,00",1.007,"443,28","0,00",18.059,"30,00","0,00"
"Jo, 18 aprilie 2013",19,16,21,39,7,28,REPORT,"369.958,48","25.468.673,17",7,"26.425,60","0,00",583,"317,28","0,00",10.191,"30,00","0,00"
"Du, 14 aprilie 2013",13,46,31,35,30,12,REPORT,"957.396,43","25.098.714,69",9,"53.188,69","0,00",750,"638,26","0,00",15.71,"30,00","0,00"
"Jo, 11 aprilie 2013",23,10,25,13,44,39,REPORT,"352.149,57","24.141.318,26",16,"11.004,67","0,00",642,"274,25","0,00",10.401,"30,00","0,00"
"Du, 7 aprilie 2013",21,35,43,5,7,46,REPORT,"820.390,32","23.789.168,69",10,"41.019,51","0,00",740,"554,31","0,00",15.592,"30,00","0,00"
"Jo, 4 aprilie 2013",6,49,24,16,5,9,REPORT,"352.641,07","22.968.778,37",6,"29.386,75","0,00",501,"351,93","0,00",9.082,"30,00","0,00"
"Du, 31 martie 2013",2,7,46,4,6,16,REPORT,"922.747,80","22.616.137,30",14,"49.177,05","0,00",916,"503,68","0,00",18.101,"30,00","0,00"
"Jo, 28 martie 2013",4,5,32,10,22,46,REPORT,"454.209,60","21.693.389,50",REPORT,"227.104,80","227.104,80",314,"723,26","0,00",6.584,"30,00","0,00"
"Du, 24 martie 2013",16,5,33,4,36,20,REPORT,"918.826,20","21.239.179,90",23,"19.974,48","0,00",1.055,"435,46","0,00",19.465,"30,00","0,00"
"Jo, 21 martie 2013",14,2,23,20,47,49,REPORT,"469.194,60","20.320.353,70",4,"58.649,32","0,00",363,"646,27","0,00",7.567,"30,00","0,00"
"Du, 17 martie 2013",27,28,11,8,12,14,REPORT,"845.400,60","19.851.159,10",29,"14.575,87","0,00",1.488,"284,07","0,00",25.295,"30,00","0,00"
"Jo, 14 martie 2013",22,13,24,3,5,34,REPORT,"353.535,00","19.005.758,50",20,"8.838,37","0,00",727,"243,14","0,00",11.523,"30,00","0,00"
"Du, 10 martie 2013",32,46,9,40,17,29,REPORT,"867.723,60","18.652.223,50",9,"48.206,86","0,00",774,"560,54","0,00",14.038,"30,00","0,00"
"Jo, 7 martie 2013",17,5,15,31,42,43,REPORT,"409.474,20","17.784.499,90",4,"51.184,27","0,00",310,"660,44","0,00",5.891,"30,00","0,00"
"Du, 3 martie 2013",48,11,31,8,43,21,REPORT,"1.100.704,00","17.375.025,70",10,"55.035,20","0,00",602,"914,20","0,00",12.408,"30,00","0,00"
"Jo, 28 februarie 2013",15,8,21,2,18,45,REPORT,"383.618,40","16.174.321,70",10,"19.180,92","0,00",523,"366,74","0,00",8.548,"30,00","0,00"
"Du, 24 februarie 2013",1,14,35,41,7,11,REPORT,"906.846,60","15.790.703,30",18,"25.190,18","0,00",988,"458,93","0,00",18.375,"30,00","0,00"
"Jo, 21 februarie 2013",27,10,7,34,32,9,REPORT,"391.011,00","14.883.856,70",8,"24.438,18","0,00",451,"433,49","0,00",9.825,"30,00","0,00"
"Du, 17 februarie 2013",2,12,19,17,45,26,REPORT,"829.276,80","14.492.845,70",24,"17.276,60","0,00",1.366,"303,54","0,00",23.188,"30,00","0,00"
"Jo, 14 februarie 2013",3,4,46,9,44,15,REPORT,"428.536,20","13.663.568,90",9,"23.807,56","0,00",369,"580,67","0,00",7.603,"30,00","0,00"
"Du, 10 februarie 2013",3,8,38,25,1,14,REPORT,"799.040,40","13.235.032,70",20,"19.976,01","0,00",929,"430,05","0,00",16.41,"30,00","0,00"
"Jo, 7 februarie 2013",20,42,39,2,25,28,REPORT,"397.703,40","12.435.992,30",10,"19.885,17","0,00",336,"591,82","0,00",6.327,"30,00","0,00"
"Du, 3 februarie 2013",45,46,1,34,8,13,REPORT,"828.639,60","12.038.288,90",12,"34.526,65","0,00",885,"468,15","0,00",15.678,"30,00","0,00"
"Jo, 31 ianuarie 2013",40,26,32,22,23,36,REPORT,"390.390,00","11.209.649,30",1,"195.195,00","0,00",239,"816,71","0,00",5.478,"30,00","0,00"
"Du, 27 ianuarie 2013",40,18,25,33,39,43,REPORT,"823.002,60","10.819.259,30",16,"25.718,83","0,00",736,"559,10","0,00",13.419,"30,00","0,00"
"Jo, 24 ianuarie 2013",36,27,48,2,6,26,REPORT,"364.058,40","9.996.256,70",2,"91.014,60","0,00",345,"527,62","0,00",6.458,"30,00","0,00"
"Du, 20 ianuarie 2013",6,39,42,44,49,38,REPORT,"851.427,60","9.632.198,30",5,"85.142,76","0,00",330,"1.290,04","0,00",8.754,"30,00","0,00"
"Jo, 17 ianuarie 2013",4,42,46,41,26,37,REPORT,"375.773,40","8.780.770,70",2,"93.943,35","0,00",249,"754,56","0,00",5.557,"30,00","0,00"
"Du, 13 ianuarie 2013",47,33,10,16,27,2,REPORT,"769.573,20","8.404.997,30",20,"19.239,33","0,00",917,"419,61","0,00",15.578,"30,00","0,00"
"Jo, 10 ianuarie 2013",39,44,27,31,5,25,REPORT,"308.266,20","7.635.424,10",8,"19.266,63","0,00",309,"498,81","0,00",5.331,"30,00","0,00"
"Du, 6 ianuarie 2013",49,24,10,18,27,23,REPORT,"846.871,20","7.327.157,90",14,"30.245,40","0,00",972,"435,63","0,00",19.192,"30,00","0,00"
"Du, 30 decembrie 2012",49,16,29,32,48,42,REPORT,"1.087.643,00","5.117.168,70",11,"49.438,31","0,00",629,"864,58","0,00",14.808,"30,00","0,00"
"Du, 30 decembrie 2012",6,32,36,46,8,48,REPORT,"1.063.118,00","6.480.286,70",16,"33.222,43","0,00",732,"726,17","0,00",16.443,"30,00","0,00"
"Du, 23 decembrie 2012",23,14,39,37,46,8,REPORT,"591.089,80","4.029.525,70",17,"17.384,99","0,00",736,"401,55","0,00",12.497,"30,00","0,00"
"Jo, 20 decembrie 2012",14,47,24,2,13,33,REPORT,"230.252,20","3.438.435,90",5,"23.025,22","0,00",318,"362,03","0,00",6.067,"30,00","0,00"
"Du, 16 decembrie 2012",38,10,3,4,6,17,REPORT,"449.374,90","3.208.183,70",8,"28.085,93","0,00",662,"339,40","0,00",11.516,"30,00","0,00"
"Jo, 13 decembrie 2012",42,21,24,43,44,2,REPORT,"228.501,40","2.758.808,80",2,"57.125,35","0,00",134,"852,61","0,00",3.307,"30,00","0,00"
"Du, 9 decembrie 2012",40,11,47,31,38,29,REPORT,"479.139,20","2.530.307,40",3,"79.856,53","0,00",321,"746,32","0,00",6.185,"30,00","0,00"
"Jo, 6 decembrie 2012",47,41,23,10,21,45,REPORT,"243.038,00","2.051.168,20",4,"30.379,75","0,00",132,"920,59","0,00",3.453,"30,00","0,00"
"Du, 2 decembrie 2012",10,32,37,23,45,39,REPORT,"480.829,10","1.808.130,20",9,"26.712,72","0,00",413,"582,11","0,00",8.284,"30,00","0,00"
"Jo, 29 noiembrie 2012",18,1,37,34,43,11,REPORT,"211.983,30","1.327.301,10",3,"35.330,55","0,00",181,"585,58","0,00",3.985,"30,00","0,00"
"Du, 25 noiembrie 2012",12,2,28,32,7,25,REPORT,"419.119,00","1.115.317,80",20,"10.477,97","0,00",927,"226,06","0,00",13.935,"30,00","0,00"
"Jo, 22 noiembrie 2012",7,33,26,45,38,43,REPORT,"190.769,40","696.198,80",4,"23.846,17","0,00",279,"341,88","0,00",4.27,"30,00","0,00"
"Du, 18 noiembrie 2012",22,28,48,39,20,24,REPORT,"505.429,40","505.429,40",5,"50.542,94","0,00",384,"658,11","0,00",8.281,"30,00","0,00"
"Jo, 15 noiembrie 2012",12,24,8,30,4,40,1,"2.862.591,80","0,00",5,"21.330,61","0,00",345,"309,13","0,00",5.213,"30,00","0,00"
"Du, 11 noiembrie 2012",44,35,34,29,36,32,REPORT,"548.316,30","2.649.285,70",3,"91.386,05","0,00",403,"680,29","0,00",7.932,"30,00","0,00"
"Jo, 8 noiembrie 2012",16,5,40,45,14,25,REPORT,"209.751,60","2.100.969,40",13,"8.067,36","0,00",302,"347,27","0,00",4.464,"30,00","0,00"
"Du, 4 noiembrie 2012",37,17,32,21,26,27,REPORT,"462.133,80","1.891.217,80",10,"23.106,69","0,00",671,"344,36","0,00",11.076,"30,00","0,00"
"Jo, 1 noiembrie 2012",8,4,48,12,29,33,REPORT,"172.732,90","1.429.084,00",12,"7.197,20","0,00",337,"256,28","0,00",4.628,"30,00","0,00"
"Du, 28 octombrie 2012",37,11,47,44,31,13,REPORT,"505.292,30","1.256.351,10",3,"84.215,38","0,00",439,"575,50","0,00",9.393,"30,00","0,00"
"Jo, 25 octombrie 2012",22,38,29,37,13,25,REPORT,"161.044,10","751.058,80",2,"40.261,02","0,00",317,"254,01","0,00",5.172,"30,00","0,00"
"Du, 21 octombrie 2012",9,24,2,42,25,28,REPORT,"420.483,90","590.014,70",12,"17.520,16","0,00",531,"395,93","0,00",10.266,"30,00","0,00"
"Jo, 18 octombrie 2012",42,18,41,7,35,26,REPORT,"169.530,80","169.530,80",1,"84.765,40","0,00",205,"413,48","0,00",3.55,"30,00","0,00"
"Du, 14 octombrie 2012",43,12,24,36,7,16,1,"5.078.377,31","0,00",49,"4.848,98","0,00",1.141,"208,23","0,00",15.36,"30,00","0,00"
"Jo, 11 octombrie 2012",18,49,20,11,30,9,REPORT,"206.717,40","4.603.176,81",3,"34.452,90","0,00",272,"379,99","0,00",4.694,"30,00","0,00"
"Du, 7 octombrie 2012",28,16,19,36,46,4,REPORT,"507.471,20","4.396.459,41",17,"14.925,62","0,00",824,"307,93","0,00",12.456,"30,00","0,00"
"Jo, 4 octombrie 2012",16,35,21,14,34,45,REPORT,"219.618,50","3.888.988,21",1,"109.809,25","0,00",155,"708,44","0,00",3.438,"30,00","0,00"
"Du, 30 septembrie 2012",6,37,34,17,9,14,REPORT,"519.595,02","3.669.369,71",28,"6.185,65","0,00",814,"212,77","0,00",12.956,"30,00","0,00"
"Jo, 27 septembrie 2012",13,49,8,17,28,48,REPORT,"224.698,32","3.149.774,69",4,"18.724,86","0,00",267,"280,52","0,00",4.373,"30,00","0,00"
"Du, 23 septembrie 2012",14,13,17,38,21,7,REPORT,"466.740,00","2.925.076,37",16,"9.723,75","0,00",924,"168,37","0,00",14.918,"30,00","0,00"
"Jo, 20 septembrie 2012",15,24,46,38,33,3,REPORT,"216.675,70","2.458.336,37",12,"6.018,76","0,00",272,"265,53","0,00",4.226,"30,00","0,00"
"Du, 16 septembrie 2012",22,19,12,28,29,23,REPORT,"22.748,42","2.029.098,85",18,"4.423,30","0,00",782,"159,99","0,00",14.288,"106,00","0,00"
"Du, 16 septembrie 2012",9,15,25,30,17,6,REPORT,"12.561,82","2.241.660,67",22,"2,00",,1.034,"66,81",,15.249,"106,00",
"Du, 9 septembrie 2012",37,32,30,13,18,4,REPORT,"512.907,69","2.006.350,43",12,"14.247,43","0,00",562,"304,21","0,00",9.843,"30,00","0,00"
"Jo, 6 septembrie 2012",2,33,38,6,36,34,REPORT,"213.531,72","1.493.442,74",2,"35.588,62","0,00",171,"416,24","0,00",3.262,"30,00","0,00"
"Du, 2 septembrie 2012",21,14,26,19,3,28,REPORT,"420.055,83","1.279.911,02",15,"9.334,57","0,00",734,"190,76","0,00",11.648,"30,00","0,00"
"Jo, 30 august 2012",25,46,4,2,24,10,REPORT,"203.036,88","859.855,19",4,"16.919,74","0,00",227,"298,14","0,00",3.72,"30,00","0,00"
"Du, 26 august 2012",23,30,39,14,40,35,REPORT,"474.389,56","656.818,31",7,"22.589,97","0,00",296,"534,22","0,00",5.912,"30,00","0,00"
"Jo, 23 august 2012",21,37,34,29,48,7,REPORT,"182.428,75","182.428,75",3,"20.269,86","0,00",158,"384,87","0,00",2.98,"30,00","0,00"
"Du, 19 august 2012",33,37,31,25,28,8,1,"20.283.270,27","0,00",22,"16.175,30","0,00",1.232,"288,84","0,00",21.353,"30,00","0,00"
"Jo, 16 august 2012",38,30,11,7,5,2,REPORT,"415.644,07","19.215.700,44",8,"17.318,50","0,00",474,"292,29","0,00",8.878,"30,00","0,00"
"Du, 12 august 2012",25,16,18,20,23,46,REPORT,"1.003.980,09","18.800.056,37",10,"33.466,00","0,00",832,"402,23","0,00",16.454,"30,00","0,00"
"Jo, 9 august 2012",13,46,36,39,21,35,REPORT,"384.577,97","17.796.076,28",7,"18.313,23","0,00",278,"461,12","0,00",5.838,"30,00","0,00"
"Du, 5 august 2012",28,49,20,22,8,7,REPORT,"726.936,79","17.411.498,31",9,"26.923,58","0,00",788,"307,50","0,00",14.043,"30,00","0,00"
"Jo, 2 august 2012",13,18,47,14,15,7,REPORT,"299.029,47","16.684.561,52",4,"24.919,12","0,00",310,"321,53","0,00",6.662,"30,00","0,00"
"Du, 29 iulie 2012",7,22,9,29,2,32,REPORT,"719.021,57","16.385.532,05",35,"6.847,82","0,00",1.292,"185,50","0,00",20.295,"30,00","0,00"
"Jo, 26 iulie 2012",1,12,28,38,16,49,REPORT,"336.697,25","15.666.510,48",4,"28.058,10","0,00",244,"459,96","0,00",4.899,"30,00","0,00"
"Du, 22 iulie 2012",48,36,24,21,47,37,REPORT,"830.723,04","15.329.813,23",8,"34.613,46","0,00",393,"704,59","0,00",10.092,"30,00","0,00"
"Jo, 19 iulie 2012",30,13,12,24,15,19,REPORT,"282.461,55","14.499.090,19",11,"8.559,44","0,00",471,"199,90","0,00",8.151,"30,00","0,00"
"Du, 15 iulie 2012",32,1,45,41,44,37,REPORT,"862.232,65","14.216.628,64",7,"41.058,69","0,00",336,"855,38","0,00",7.994,"30,00","0,00"
"Jo, 12 iulie 2012",32,4,40,44,47,22,REPORT,"314.431,05","13.354.395,99",2,"52.405,17","0,00",198,"529,34","0,00",3.901,"30,00","0,00"
"Du, 8 iulie 2012",26,35,38,17,5,23,REPORT,"628.463,80","13.039.964,94",38,"5.512,84","0,00",1.134,"184,73","0,00",15.434,"30,00","0,00"
"Jo, 5 iulie 2012",21,24,43,20,13,2,REPORT,"262.722,98","12.411.501,14",7,"12.510,61","0,00",242,"361,87","0,00",5.078,"30,00","0,00"
"Du, 1 iulie 2012",33,30,10,47,5,49,REPORT,"714.492,19","12.148.778,16",6,"39.694,01","0,00",524,"454,51","0,00",10.703,"30,00","0,00"
"Jo, 28 iunie 2012",11,15,19,38,21,44,REPORT,"272.169,58","11.434.285,97",7,"12.960,45","0,00",335,"270,81","0,00",5.721,"30,00","0,00"
"Du, 24 iunie 2012",20,30,28,8,5,49,REPORT,"653.222,41","11.162.116,39",11,"19.794,61","0,00",568,"383,34","0,00",11,"30,00","0,00"
"Jo, 21 iunie 2012",2,42,45,33,41,28,REPORT,"294.815,68","10.508.893,98",2,"49.135,94","0,00",131,"750,16","0,00",3.266,"30,00","0,00"
"Du, 17 iunie 2012",43,12,2,4,8,39,REPORT,"685.916,14","10.214.078,30",10,"22.863,87","0,00",644,"355,02","0,00",11.785,"30,00","0,00"
"Jo, 14 iunie 2012",12,37,9,41,15,46,REPORT,"274.523,29","9.528.162,16",3,"30.502,58","0,00",276,"331,54","0,00",4.667,"30,00","0,00"
"Du, 10 iunie 2012",25,32,20,28,6,30,REPORT,"693.312,50","9.253.638,87",10,"23.110,41","0,00",539,"428,76","0,00",10.635,"30,00","0,00"
"Jo, 7 iunie 2012",17,5,16,33,32,27,REPORT,"241.837,68","8.560.326,37",4,"20.153,14","0,00",280,"287,90","0,00",5.088,"30,00","0,00"
"Du, 3 iunie 2012",46,38,23,15,18,3,REPORT,"600.197,61","8.318.488,69",28,"7.145,20","0,00",748,"267,46","0,00",11.463,"30,00","0,00"
"Jo, 31 mai 2012",42,47,23,20,25,5,REPORT,"271.931,87","7.718.291,08",3,"30.214,65","0,00",213,"425,55","0,00",4.047,"30,00","0,00"
"Du, 27 mai 2012",29,39,33,6,5,26,REPORT,"582.752,82","7.446.359,21",7,"27.750,13","0,00",757,"256,60","0,00",13.451,"30,00","0,00"
"Jo, 24 mai 2012",11,2,9,10,38,12,REPORT,"247.306,75","6.863.606,39",6,"13.739,26","0,00",389,"211,91","0,00",6.04,"30,00","0,00"
"Du, 20 mai 2012",43,14,42,49,4,28,REPORT,"713.812,92","6.616.299,64",4,"59.484,41","0,00",374,"636,19","0,00",8.745,"30,00","0,00"
"Jo, 17 mai 2012",9,23,41,37,43,4,REPORT,"266.661,99","5.902.486,72",10,"8.888,73","0,00",328,"270,99","0,00",5.023,"30,00","0,00"
"Du, 13 mai 2012",17,3,26,21,29,34,REPORT,"586.693,26","5.635.824,73",22,"8.889,29","0,00",829,"235,90","0,00",13.188,"30,00","0,00"
"Jo, 10 mai 2012",48,1,46,2,32,26,REPORT,"251.122,29","5.049.131,47",2,"41.853,71","0,00",108,"775,06","0,00",2.52,"30,00","0,00"
"Du, 6 mai 2012",47,37,17,48,7,41,REPORT,"573.597,79","4.798.009,18",9,"21.244,36","0,00",651,"293,70","0,00",8.23,"30,00","0,00"
"Jo, 3 mai 2012",33,22,4,42,17,6,REPORT,"186.137,04","4.224.411,39",6,"10.340,94","0,00",228,"272,13","0,00",3.91,"30,00","0,00"
